,Timestamp,s1,s2,s1_clean,s2_clean,l_force_lbs,l_force_N,r_force_lbs,r_force_N,athletes_name,protocol_name,protocol_type,leg,elapsed_time_sec
0,1701144864.70635,-662577,-1009564,-662577,-1009564,93.000941837217,445.8700221987581,121.15196102275928,580.8331236600864,huey,CMJ,double,both,0.0
1,1701144864.720653,-666056,-1005386,-666056,-1007126,93.42675751985722,447.911490211025,120.84917453008377,579.3814886815179,huey,CMJ,double,both,0.014302968978881836
2,1701144864.7334368,-669579,-101,-669579,-1004688,93.85795862648025,449.97877730709183,120.54638803740825,577.9298537029493,huey,CMJ,double,both,0.027086734771728516
3,1701144864.748023,-672992,-998537,-672992,-1002250,94.27569617314629,451.98151669365905,120.24360154473273,576.4782187243809,huey,CMJ,double,both,0.04167294502258301
4,1701144864.762418,-678309,-999812,-678309,-999812,94.92647570306812,455.1015182519296,119.94081505205722,575.0265837458124,huey,CMJ,double,both,0.05606794357299805
5,1701144864.776722,-679925,-1001360,-679925,-1001360,95.1242676384365,456.0497827842157,120.13306832960508,575.9482945525491,huey,CMJ,double,both,0.07037186622619629
6,1701144864.7909179,-681131,-1002817,-681131,-1002817,95.27187721396514,456.7574603992758,120.31401989639271,576.815822101267,huey,CMJ,double,both,0.08456778526306152
7,1701144864.805208,-682431,-1002565,-682431,-1002565,95.43099201345703,457.5202969660901,120.2827228512105,576.6657761559843,huey,CMJ,double,both,0.09885787963867188
8,1701144864.819427,-686977,-1001644,-686977,-1001644,95.98740422768023,460.1878777605039,120.16833960274694,576.117393951201,huey,CMJ,double,both,0.11307692527770996
9,1701144864.833628,-689829,-1001030,-689829,-1001030,96.33647761856552,461.8614238286227,120.09208410377123,575.7518058146788,huey,CMJ,double,both,0.12727785110473633
10,1701144864.847918,-692857,-1003121,-692857,-1003121,96.70709270538202,463.638246231941,120.35177506200934,576.9968299082747,huey,CMJ,double,both,0.14156794548034668
11,1701144864.862164,-695515,-1005925,-695515,-1005925,97.03242127234314,465.19795361239676,120.70001678697331,578.6663887597538,huey,CMJ,double,both,0.15581393241882324
12,1701144864.876364,-700356,-1009932,-700356,-1009932,97.62494030645102,468.0386396277415,121.19766464429522,581.0522383738326,huey,CMJ,double,both,0.1700139045715332
13,1701144864.8906372,-701681,-1013522,-701681,-1013522,97.78711500593315,468.816146128533,121.64352334351798,583.1897976736934,huey,CMJ,double,both,0.18428707122802734
14,1701144864.90496,-702606,-1017215,-702606,-1017215,97.90033130557161,469.35893368568935,122.10217408898586,585.3886852765866,huey,CMJ,double,both,0.1986098289489746
15,1701144864.9191449,-702952,-1018149,-702952,-1018149,97.94268032143638,469.5619655719338,122.21817186755803,585.944807946801,huey,CMJ,double,both,0.21279478073120117
16,1701144864.93344,-703251,-1019192,-703251,-1019192,97.97927672531951,469.73741798230105,122.34770686011774,586.5658314425546,huey,CMJ,double,both,0.22708988189697266
17,1701144864.947891,-703702,-1017109,-703702,-1017109,98.03447732114324,470.00206359124974,122.08900945886954,585.325570712301,huey,CMJ,double,both,0.24154090881347656
18,1701144864.9621131,-703612,-1014082,-703612,-1014082,98.02346168117842,469.94925182893184,121.71307233281179,583.5232331076551,huey,CMJ,double,both,0.25576305389404297
19,1701144864.976483,-701439,-1009957,-701439,-1009957,97.75749517402774,468.67414116763376,121.20076950988869,581.0671238842773,huey,CMJ,double,both,0.27013301849365234
20,1701144864.9905448,-699712,-1005469,-699712,-1005469,97.54611728270274,467.6607421284889,120.64338403854836,578.3948770492423,huey,CMJ,double,both,0.2841947078704834
21,1701144865.0047731,-698290,-993718,-698290,-993718,97.37207017125853,466.8263162838658,119.18397301499215,571.3980917198089,huey,CMJ,double,both,0.29842305183410645
22,1701144865.019132,-696521,-988087,-696521,-988087,97.15555164794993,465.7882717556392,118.48463308871823,568.0452793472416,huey,CMJ,double,both,0.31278181076049805
23,1701144865.03347,-692822,-982330,-692822,-982330,96.7028088453957,463.61770832437287,117.76964463985318,564.6174440020329,huey,CMJ,double,both,0.3271198272705078
